fs_name,Annual_depreciation_rate,Annual_discount_rate,Annual_insurance_costs_per_crew,Annual_other_income,Crewshare_and_unpaid_labour_costs_percent,Landing_costs_percent,Nb_crew,Nb_Vessels,Opportunity_interest_rate,Other_annual_fixed_costs,Other_variable_costs_per_unit_effort,Standard_annual_full_time_employment_hours,Standard_labour_hour_opportunity_costs,Vessel_value
USA0054,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0055,0.04,0.052,0,0,66.49537391,0,4,1,0.05,176465.63,58.85201244,2080,52.8,3974339.563
USA0056,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0057,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0058,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0059,0.04,0.052,0,0,60.01408552,0,4,1,0.05,92480.91672,45.32913015,2080,52.8,1396167.072
USA0060,0.04,0.052,0,0,61.05404828,0,4,1,0.05,94597.31249,44.53480593,2080,52.8,1394402.703
USA0061,0.04,0.052,0,0,60.19249544,0,4,1,0.05,94155.31028,45.08582589,2080,52.8,1393484.663
USA0062,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0063,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0064,0.04,0.052,0,0,61.60816929,0,4,1,0.05,95556.16227,44.15585504,2080,52.8,1391369.743
USA0065,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0066,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0067,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
