"VesselId","nb_vessels","Port","Gear","RelativeEffort","VE_LEN","Tonnage","name_gis_file_for_fishing_effort_per_polygon","name_gis_layer_field","is_gis_layer_field_relative_numbers","xfold_gis_layer_field","dcf_gear","SAB_kg_h","SJU_kg_h","SJZ_kg_h","MIP_kg_h","EOJ_kg_h","SGO_kg_h","OTH_kg_h","mean_kW","fishing.speed.knots","cruise.speed.knots","fuel.cons.h","fuel.tank.liter","ave.storage.fish.kg","nb_pings_per_trip","Gamma_shape","Gamma_scale","trip.duration.h","multip.fuel.steaming","multip.fuel.fishing","multip.fuel.ret.port.fish","multip.fuel.inactive","weekEndStartDay","WeekEndEndDay","WorkHoursStart","WorkHoursEnd","vessel_range_km","kW"
"USA0035",1,"Morro_Bay","dts_longline_2",0.367788370953763,11.774,16.733,"fe_code_USA0035_dts_longline","fe",FALSE,1,"dts_longline_2",22.084,1.343,0.909,0.771,1.405,NA,3.31,170.694,1.145,9.108,45.662,1444.693,698.298,1,0.4485,336.7618,26.168,0.8,1,1.1,0.1,1,7,1,23,179.693,NA
"USA0035",1,"Morro_Bay","dts_trap_1",0.0460865960734069,11.802,16.668,"fe_code_USA0035_dts_trap","fe",FALSE,1,"dts_trap_1",8.89,1.265,NA,NA,NA,NA,NA,173.684,1.248,9.138,45.145,1505.367,693.683,1,0.4485,336.7618,26.803,0.8,1,1.1,0.1,1,7,1,23,185.486,NA
"USA0035",1,"Santa_Barbara","dts_longline_2",0.540867468063459,11.455,16.605,"fe_code_USA0035_dts_longline","fe",FALSE,1,"dts_longline_2",22.699,1.402,0.907,0.755,1.385,NA,3.245,174.1,1.178,9.15,42.235,1502.769,719.507,1,0.4485,336.7618,24.825,0.8,1,1.1,0.1,1,7,1,23,176.302,NA
"USA0035",1,"Santa_Barbara","non_dts_other_1",0.0452575649093718,11.231,17.191,"fe_code_USA0035_non_dts_other","fe",FALSE,1,"non_dts_other_1",49.926,2.883,NA,0.15,NA,NA,NA,174.306,1.204,9.518,46.002,1393.336,672.271,1,0.4485,336.7618,27.297,0.8,1,1.1,0.1,1,7,1,23,177.781,NA
"USA0036",1,"Eureka","non_dts_other_4",0.246075761551058,18.495,126.157,"fe_code_USA0036_non_dts_other","fe",FALSE,1,"non_dts_other_4",NA,NA,NA,NA,NA,NA,241.955,84.573,2.852,8.118,24.004,16623.255,14283.844,1,0.4485,336.7618,68.233,0.8,1,1.1,0.1,1,7,1,23,565.879,NA
"USA0036",1,"Fort_Bragg","dts_trap_4",0.423993268856702,20.006,125.086,"fe_code_USA0036_dts_trap","fe",FALSE,1,"dts_trap_4",236.78,0.118,NA,NA,NA,NA,7.102,84.905,2.714,8.257,23.502,16344.956,14441.41,1,0.4485,336.7618,66.203,0.8,1,1.1,0.1,1,7,1,23,584.454,NA
"USA0036",1,"Fort_Bragg","non_dts_other_4",0.137559598664628,18.791,123.572,"fe_code_USA0036_non_dts_other","fe",FALSE,1,"non_dts_other_4",NA,NA,NA,NA,NA,NA,238.292,79.933,2.892,7.843,22.324,17190.653,14437.387,1,0.4485,336.7618,65.179,0.8,1,1.1,0.1,1,7,1,23,576.908,NA
"USA0036",1,"Fort_Bragg","dts_longline_1",0.00401516316689435,18.33,126.831,"fe_code_USA0036_dts_longline","fe",FALSE,1,"dts_longline_1",180.801,0.099,NA,NA,NA,NA,2.934,84.604,2.687,8.081,22.333,16575.564,14800.417,1,0.4485,336.7618,66.959,0.8,1,1.1,0.1,1,7,1,23,576.353,NA
"USA0036",1,"San_Francisco","non_dts_other_4",0.143840189630058,20.03,126.188,"fe_code_USA0036_non_dts_other","fe",FALSE,1,"non_dts_other_4",NA,NA,NA,NA,NA,NA,244.315,81.586,2.897,8.256,23.273,17429.383,13799.449,1,0.4485,336.7618,68.47,0.8,1,1.1,0.1,1,7,1,23,612.449,NA
"USA0036",1,"Bodega_Bay","non_dts_other_4",0.0445160181306601,19.595,117.097,"fe_code_USA0036_non_dts_other","fe",FALSE,1,"non_dts_other_4",NA,NA,NA,NA,NA,NA,248.677,79.457,2.899,7.722,24.1,16803.804,13938.821,1,0.4485,336.7618,66.43,0.8,1,1.1,0.1,1,7,1,23,568.553,NA
"USA0037",1,"Newport_Beach","dts_longline_2",1,10.886,15.06,"fe_code_USA0037_dts_longline","fe",FALSE,1,"dts_longline_2",6.56,1.097,NA,NA,NA,NA,NA,161.974,0.788,7.581,45.827,1464.792,188.54,1,0.4485,336.7618,26.383,0.8,1,1.1,0.1,1,7,1,23,111.813,NA
"USA0038",1,"Fort_Bragg","dts_trap_5",0.992500749925007,15.315,23.877,"fe_code_USA0038_dts_trap","fe",FALSE,1,"dts_trap_5",71.952,NA,NA,1.184,NA,NA,5.31,204.752,1.794,6.702,53.662,6955.303,453.169,1,0.4485,336.7618,5.414,0.8,1,1.1,0.1,1,7,1,23,84.286,NA
"USA0038",1,"Fort_Bragg","non_dts_other_1",0.0074992500749925,15.932,25.745,"fe_code_USA0038_non_dts_other","fe",FALSE,1,"non_dts_other_1",NA,NA,NA,NA,NA,NA,112.166,204.285,1.737,6.993,54.511,6871.137,439.242,1,0.4485,336.7618,5.171,0.8,1,1.1,0.1,1,7,1,23,81.743,NA
"USA0039",1,"Oxnard","dts_longline_2",1,8.703,8.711,"fe_code_USA0039_dts_longline","fe",FALSE,1,"dts_longline_2",4.456,53.161,6.686,NA,NA,NA,0.373,201.559,1.005,13.891,50.82,61.942,347.878,1,0.4485,336.7618,5.562,0.8,1,1.1,0.1,1,7,1,23,50.148,NA
"USA0040",1,"Oxnard","dts_longline_2",1,8.423,2.009,"fe_code_USA0040_dts_longline","fe",FALSE,1,"dts_longline_2",3.15,43.96,7.079,NA,NA,NA,1.013,184.214,1.606,17.631,47.242,58.697,346.041,1,0.4485,336.7618,6.603,0.8,1,1.1,0.1,1,7,1,23,150.131,NA
"USA0041",1,"Santa_Barbara","dts_longline_4",0.496480597047401,6.805,2.07,"fe_code_USA0041_dts_longline","fe",FALSE,1,"dts_longline_4",13.616,34.41,3.855,1.579,NA,NA,0.532,192.643,1.192,18.971,47.277,59.113,456.16,1,0.4485,336.7618,9.942,0.8,1,1.1,0.1,1,7,1,23,218.163,NA
"USA0041",1,"Oxnard","non_dts_other_1",0.0161881656675987,6.585,2.017,"fe_code_USA0041_non_dts_other","fe",FALSE,1,"non_dts_other_1",8.278,6.502,NA,NA,NA,NA,22.477,181.529,1.244,19.974,46.614,60.989,434.769,1,0.4485,336.7618,10.741,0.8,1,1.1,0.1,1,7,1,23,221.548,NA
"USA0041",1,"Oxnard","dts_longline_4",0.459480629684831,6.577,2.034,"fe_code_USA0041_dts_longline","fe",FALSE,1,"dts_longline_4",13.896,35.801,3.901,1.465,NA,NA,0.497,176.858,1.135,18.95,46.966,62.026,435.635,1,0.4485,336.7618,10.312,0.8,1,1.1,0.1,1,7,1,23,234.902,NA
"USA0041",1,"Newport_Beach","dts_longline_4",0.0278506076001697,6.518,2.002,"fe_code_USA0041_dts_longline","fe",FALSE,1,"dts_longline_4",13.995,34.458,3.713,1.541,NA,NA,0.483,177.149,1.144,20.009,47.271,61.167,432.867,1,0.4485,336.7618,10.023,0.8,1,1.1,0.1,1,7,1,23,224.232,NA
"USA0042",1,"Monterey","dts_trap_2",0.325581395348837,10.667,14.353,"fe_code_USA0042_dts_trap","fe",FALSE,1,"dts_trap_2",29.893,NA,NA,NA,NA,NA,NA,171.337,2.158,5.782,45.734,909.185,235.761,1,0.4485,336.7618,8.58,0.8,1,1.1,0.1,1,7,1,23,31.939,NA
"USA0042",1,"Moss_Landing","dts_trap_2",0.674418604651163,11.331,14.549,"fe_code_USA0042_dts_trap","fe",FALSE,1,"dts_trap_2",30.508,NA,NA,NA,NA,NA,NA,183.163,2.191,5.945,44.017,951.239,232.91,1,0.4485,336.7618,8.478,0.8,1,1.1,0.1,1,7,1,23,32.886,NA
"USA0043",1,"Monterey","non_dts_trawl_3",0.510803324099723,17.332,74.307,"fe_code_USA0043_non_dts_trawl","fe",FALSE,1,"non_dts_trawl_3",12.694,5.652,15.343,171.064,50.134,48.381,66.856,296.849,2.315,7.494,68.479,13220.272,9594.701,1,0.4485,336.7618,34.418,0.8,1,1.1,0.1,1,7,1,23,203.83,NA
