VE_REF,Nb_Vessels,Nb_crew,Annual_other_income,Landing_costs_percent,Crewshare_and_unpaid_labour_costs_percent,Other_variable_costs_per_unit_effort,Annual_insurance_costs_per_crew,Standard_labour_hour_opportunity_costs,Standard_annual_full_time_employment_hours,Other_annual_fixed_costs,Vessel_value,Annual_depreciation_rate,Opportunity_interest_rate,Annual_discount_rate
USA0102,1,4,0,0,61.94898906,43.92496568,0,52.8,2080,96237.4782,1388988.974,0.04,0.05,0.052
USA0103,1,4,0,0,59.9086017,45.12455511,0,52.8,2080,94418.87181,1364268.935,0.04,0.05,0.052
USA0104,1,4,0,0,61.94720473,43.95970323,0,52.8,2080,96124.71367,1387210.298,0.04,0.05,0.052
USA0105,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0106,1,4,0,0,62.20361272,44.12427004,0,52.8,2080,95537.11499,1367574.023,0.04,0.05,0.052
USA0107,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0108,1,4,0,0,63.55119207,44.99561752,0,52.8,2080,92931.87356,1334535.401,0.04,0.05,0.052
USA0109,1,3,0,0,68.74151965,52.84209049,0,52.8,2080,123608.0261,2813246.385,0.04,0.05,0.052
USA0110,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0111,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0112,1,3,0,0,68.76753384,52.66658237,0,52.8,2080,123466.3848,2807138.889,0.04,0.05,0.052
USA0113,1,3,0,0,68.88278292,48.62551984,0,52.8,2080,89967.39156,2053262.732,0.04,0.05,0.052
USA0114,1,4,0,0,63.29627668,44.95600786,0,52.8,2080,92584.91219,1277304.749,0.04,0.05,0.052
USA0115,1,4,0,0,59.27916715,45.44955706,0,52.8,2080,91916.64113,1317526.444,0.04,0.05,0.052
USA0116,1,3,0,0,69.55038109,47.86001533,0,52.8,2080,93847.44963,2041982.992,0.04,0.05,0.052
USA0117,1,3,0,0,67.1436335,46.99432584,0,52.8,2080,95086.67143,1871808.423,0.04,0.05,0.052
USA0118,1,3,0,0,69.00815624,48.6654789,0,52.8,2080,89956.21835,2060900.091,0.04,0.05,0.052
USA0119,1,4,0,0,59.8315568,45.51380283,0,52.8,2080,91630.25438,1405088.312,0.04,0.05,0.052
USA0120,1,4,0,0,60.90903339,44.28399882,0,52.8,2080,98990.09651,1371375.738,0.04,0.05,0.052
USA0121,1,4,0,0,60.15330032,45.15015431,0,52.8,2080,93640.14208,1395987.555,0.04,0.05,0.052
