"stock","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
"SAB",4898.69537599391,0,0.0799818895503183,5561.233721706,97191.83943,57883.25148,30125.20596,38023.28919,32143.34862,8950.2544485,1334.2113283701,85.6304991526953,1.86602699662994,0.0289548253042693
"MIP",120094.1888,141486.15446,149152.3303,145357.2854,169073.7664,151791.336,70030.376239,12884.78612905,328.847095341693,0,0,0,0,0
"SJZ",45749.82,153140.88,232690.2,160964.5725,7091.5426573,0.016121535,0,0,0,0,0,0,0,0
"SJU",10879.6428,18015.0854,34155.06445,30032.15852,17189.51624,5967.96902,4089.451418,1541.394803,1524.119688,1001.875381,931.592142,344.5439075,133.8580672,41.86059787
"EOJ",4898.69537599391,0,0.0799818895503183,5561.233721706,97191.83943,57883.25148,30125.20596,38023.28919,32143.34862,8950.2544485,1334.2113283701,85.6304991526953,1.86602699662994,0.0289548253042693
"SGO",4898.69537599391,0,0.0799818895503183,5561.233721706,97191.83943,57883.25148,30125.20596,38023.28919,32143.34862,8950.2544485,1334.2113283701,85.6304991526953,1.86602699662994,0.0289548253042693
"OTH",4898.69537599391,0,0.0799818895503183,5561.233721706,97191.83943,57883.25148,30125.20596,38023.28919,32143.34862,8950.2544485,1334.2113283701,85.6304991526953,1.86602699662994,0.0289548253042693
